nome,cpf,idade,data,endereco,estado,pais
Sr. Vitor Gabriel Silva,640.719.385-01,90,06/12/1933,"Trevo Emanuel Silva, 482
Vila Tirol
47847085 Pereira / AP",Rondônia,Brasil
Calebe Santos,651.297.384-46,40,06/03/1984,"Recanto Moraes, 7
Ernesto Nascimento
96497-621 da Rosa / PB",Rio de Janeiro,Brasil
Evelyn Pires,107.643.528-90,80,09/03/1944,"Travessa de Caldeira, 237
Santa Terezinha
84390313 Sales / TO",Sergipe,Brasil
Maria Julia Castro,164.750.293-43,76,12/04/1947,"Residencial de Pereira, 20
Jatobá
62127-165 Gomes de Santos / AL",Pernambuco,Brasil
Arthur da Rosa,085.167.249-30,53,16/04/1970,"Parque Almeida, 66
Vila Suzana Segunda Seção
09805-686 Santos / SE",Santa Catarina,Brasil
Juan Pereira,520.876.319-21,68,25/10/1955,"Rodovia de Pereira, 51
Estrela
44830637 Mendes de Moraes / BA",Rio de Janeiro,Brasil
Dra. Ana Laura Ribeiro,210.764.589-20,69,09/05/1954,"Esplanada Lavínia Ramos
São Francisco
39467-536 da Mata / SP",Distrito Federal,Brasil
Maria Clara Araújo,960.342.175-80,41,14/03/1983,"Praça Cavalcanti, 65
Conjunto Celso Machado
97788-105 Vieira / RO",Paraná,Brasil
Vitória Oliveira,302.568.479-83,31,10/03/1993,"Esplanada Monteiro, 88
Conjunto Paulo Vi
06403-281 Moraes / GO",Roraima,Brasil
Benjamin Oliveira,451.896.703-84,49,16/05/1974,"Ladeira Monteiro, 57
Vila Primeiro De Maio
76835-491 Moura dos Dourados / CE",Acre,Brasil
Pietro Barros,843.095.172-50,51,19/08/1972,"Recanto Luiz Miguel Jesus, 35
Vila Aeroporto Jaraguá
50536-588 Oliveira de Goiás / PB",Minas Gerais,Brasil
Samuel Cavalcanti,520.679.841-01,89,26/11/1934,"Ladeira de Porto, 38
Nova America
91782042 Barros de da Mata / TO",Roraima,Brasil
Ian da Costa,384.172.609-78,23,21/01/2001,"Via de Jesus, 57
Vila Da Amizade
93849-206 Correia / PB",Goiás,Brasil
Dr. Emanuel Costa,736.581.942-19,55,09/03/1969,"Lago Castro, 94
Mariano De Abreu
24415-900 Porto / RJ",Goiás,Brasil
