nome,idade,cpf,endereco,estado,data
Sr. Vitor Gabriel Silva,90,640.719.385-01,"TREVO EMANUEL SILVA, 482
VILA TIROL
47847085 PEREIRA / AP",RONDÔNIA,1933-12-06
Calebe Santos,40,651.297.384-46,"RECANTO MORAES, 7
ERNESTO NASCIMENTO
96497-621 DA ROSA / PB",RIO DE JANEIRO,1984-03-06
Maria Julia Castro,76,164.750.293-43,"RESIDENCIAL DE PEREIRA, 20
JATOBÁ
62127-165 GOMES DE SANTOS / AL",PERNAMBUCO,1947-04-12
Arthur Da Rosa,53,085.167.249-30,"PARQUE ALMEIDA, 66
VILA SUZANA SEGUNDA SEÇÃO
09805-686 SANTOS / SE",SANTA CATARINA,1970-04-16
Juan Pereira,68,520.876.319-21,"RODOVIA DE PEREIRA, 51
ESTRELA
44830637 MENDES DE MORAES / BA",RIO DE JANEIRO,1955-10-25
Dra. Ana Laura Ribeiro,69,210.764.589-20,"ESPLANADA LAVÍNIA RAMOS
SÃO FRANCISCO
39467-536 DA MATA / SP",DISTRITO FEDERAL,1954-05-09
Maria Clara Araújo,41,960.342.175-80,"PRAÇA CAVALCANTI, 65
CONJUNTO CELSO MACHADO
97788-105 VIEIRA / RO",PARANÁ,1983-03-14
Vitória Oliveira,31,302.568.479-83,"ESPLANADA MONTEIRO, 88
CONJUNTO PAULO VI
06403-281 MORAES / GO",RORAIMA,1993-03-10
Benjamin Oliveira,49,451.896.703-84,"LADEIRA MONTEIRO, 57
VILA PRIMEIRO DE MAIO
76835-491 MOURA DOS DOURADOS / CE",ACRE,1974-05-16
Pietro Barros,51,843.095.172-50,"RECANTO LUIZ MIGUEL JESUS, 35
VILA AEROPORTO JARAGUÁ
50536-588 OLIVEIRA DE GOIÁS / PB",MINAS GERAIS,1972-08-19
Samuel Cavalcanti,89,520.679.841-01,"LADEIRA DE PORTO, 38
NOVA AMERICA
91782042 BARROS DE DA MATA / TO",RORAIMA,1934-11-26
Ian Da Costa,23,384.172.609-78,"VIA DE JESUS, 57
VILA DA AMIZADE
93849-206 CORREIA / PB",GOIÁS,2001-01-21
Dr. Emanuel Costa,55,736.581.942-19,"LAGO CASTRO, 94
MARIANO DE ABREU
24415-900 PORTO / RJ",GOIÁS,1969-03-09
Larissa Da Cruz,83,128.953.704-60,"SETOR ISADORA DA ROSA, 583
CHÁCARA LEONINA
20125668 TEIXEIRA / RR",MATO GROSSO DO SUL,1940-11-22
Diogo Carvalho,83,078.153.294-97,"VIADUTO PEDRO LUCAS CAVALCANTI, 49
TIRADENTES
27653-901 REZENDE / RS",MARANHÃO,1941-03-10
Sr. Anthony Almeida,37,305.184.962-60,"RUA VITOR HUGO PINTO, 21
ANCHIETA
08712074 RAMOS / RJ",BAHIA,1987-02-03
Clara Martins,77,397.201.856-86,"RODOVIA ARAGÃO, 245
CONJUNTO LAGOA
61224-422 PINTO / MG",BAHIA,1947-03-14
Dr. Luiz Felipe Cardoso,69,374.691.850-20,"ALAMEDA DE LIMA, 65
BOA ESPERANÇA
49621639 FERNANDES DE MORAES / PE",AMAPÁ,1954-07-20
Sr. Calebe Lopes,62,135.796.802-77,"TRECHO LUCAS SALES, 24
DOM BOSCO
09228582 DA CUNHA ALEGRE / RO",CEARÁ,1961-10-19
Miguel Monteiro,54,097.521.834-41,"PASSARELA IGOR NOVAES, 89
POMPÉIA
32670-098 MARTINS / SE",ACRE,1969-06-27
Srta. Catarina Da Mata,81,468.751.390-57,"SÍTIO LUNA CARVALHO, 98
NOVO SANTA CECILIA
32066-338 NUNES / AM",ACRE,1942-07-05
João Gabriel Araújo,73,625.904.731-25,"ESPLANADA DE CASTRO, 4
VILA NOVA CACHOEIRINHA 1ª SEÇÃO
69704-913 PIRES / MT",RORAIMA,1950-09-13
Sr. Nicolas Azevedo,35,036.458.921-33,"ESTRADA DE ARAGÃO, 1
VILA BARRAGEM SANTA LÚCIA
49120-746 CAMPOS / AC",RIO DE JANEIRO,1989-01-18
Kamilly Caldeira,44,508.379.462-47,"VIA GABRIELA NASCIMENTO
MADRE GERTRUDES
45044395 NASCIMENTO DO GALHO / AP",MATO GROSSO DO SUL,1979-07-04
Renan Araújo,79,186.970.354-57,"TRAVESSA VINICIUS DA MATA, 52
ALTA TENSÃO 1ª SEÇÃO
66380-981 DIAS DO CAMPO / CE",SÃO PAULO,1945-03-06
Vicente Nascimento,63,054.921.378-32,"LARGO VIEIRA
MILIONARIO
78970057 DIAS / DF",CEARÁ,1961-02-22
Isaac Rocha,57,873.402.691-69,"ÁREA LUCAS GABRIEL SILVEIRA, 51
ANCHIETA
55284-530 ROCHA / PE",RIO DE JANEIRO,1966-11-30
Julia Das Neves,60,819.402.563-05,"JARDIM ISABELLY GOMES, 23
NOSSA SENHORA DE FÁTIMA
81186-838 DA LUZ DA SERRA / ES",PARANÁ,1963-08-28
Breno Rodrigues,95,196.540.732-34,"DISTRITO DE SILVEIRA
DONA CLARA
14225405 ARAÚJO / AM",MARANHÃO,1928-10-24
Isabel Nogueira,63,968.502.347-65,"TRAVESSA ANA JÚLIA DA ROCHA
MIRAMAR
01287083 FOGAÇA DO OESTE / TO",PIAUÍ,1960-10-21
Anthony Araújo,38,208.157.463-26,"AVENIDA MILENA PIRES, 360
VILA RICA
71412995 PEREIRA / AP",TOCANTINS,1985-09-07
Sra. Marina Da Cunha,55,067.152.389-95,"RODOVIA MARCELO SOUZA, 25
ESTRELA
24438186 VIEIRA / RN",AMAZONAS,1968-09-09
Helena Cardoso,51,853.471.906-39,"PÁTIO ALEXANDRE TEIXEIRA, 243
INDAIÁ
21474228 CAVALCANTI PAULISTA / RR",PARANÁ,1972-05-29
Luigi Nunes,50,593.204.186-24,"VIA CLARA DA ROSA, 928
CASTELO
87117-636 CALDEIRA DE CAMPOS / RR",RORAIMA,1973-06-17
Srta. Raquel Da Costa,58,278.534.619-09,"ESTAÇÃO RIBEIRO, 46
VENDA NOVA
45512787 SILVA / PB",AMAZONAS,1965-05-07
Sra. Ana Vitória Oliveira,60,120.347.586-17,"SÍTIO DE CAVALCANTI, 97
JULIANA
21342254 MONTEIRO DE CAMPOS / PA",SANTA CATARINA,1963-11-01
Luiza Campos,52,974.281.306-03,"CONDOMÍNIO DE RODRIGUES, 52
CONJUNTO PROVIDENCIA
93625-248 DA LUZ / SC",TOCANTINS,1972-01-13
Lucca Da Paz,71,526.980.731-95,"RODOVIA VIEIRA, 63
CONJUNTO TAQUARIL
85325522 PIRES / RN",TOCANTINS,1952-04-14
